country,cnt
USA,90544117
CHINA,33465799
BRAZIL,29577103
FRANCE,21596459
INDIA,16942150
ENGLAND,15279564
ITALY,13537969
RUSSIAN FEDERATION,11388142
AUSTRALIA,10233808
POLAND,8142780
JAPAN,7248521
GERMANY,7115421
SPAIN,6908625
NETHERLANDS,6202521
CANADA,4688402
COLOMBIA,4632724
ARGENTINA,4384556
BELGIUM,4331379
KOREA REP OF,4091523
CZECH REPUBLIC,3722962
PERU,3458997
HONG KONG,3433350
ROMANIA,3328589
SWEDEN,2884920
NORWAY,2797308
SOUTH AFRICA,2250527
UKRAINE,2204864
FINLAND,1938430
PORTUGAL,1937846
KAZAKHSTAN,1883711
BULGARIA,1877438
DENMARK,1864428
TURKEY,1820912
TAIWAN,1699703
VIETNAM,1676901
MEXICO,1669096
HUNGARY,1634040
THAILAND,1630398
NEW ZEALAND,1590639
SWITZERLAND,1569319
GREECE,1504953
SLOVAKIA,1411103
ISRAEL,1376426
SINGAPORE,1369705
CHILE,1352864
AUSTRIA,1027401
SCOTLAND,986541
IRELAND,943640
PHILIPPINES,697374
WALES,592435
MOROCCO,576760
CYPRUS,453016
UNITED ARAB EMIRATES,400143
SLOVENIA,394689
UZBEKISTAN,381468
BELARUS,373394
SERBIA,337466
LATVIA,332982
ESTONIA,313187
KENYA,278588
LITHUANIA,275516
LUXEMBOURG,271674
NORTHERN IRELAND,270882
CROATIA,253153
INDONESIA,246183
BAHRAIN,237000
REUNION,227512
TUNISIA,213873
GUADELOUPE,205343
MALAYSIA,200331
ECUADOR,193943
MOLDOVA,193913
MAURITIUS,180155
ALGERIA,173253
SAUDI ARABIA,170059
MARTINIQUE,159484
GUATEMALA,149398
DOMINICAN REPUBLIC,140210
KYRGYZSTAN,138800
ICELAND,129613
EGYPT,92024
PAKISTAN,78003
VENEZUELA,77159
MALTA,73975
JORDAN,64851
BOSNIA-HERZEGOVINA,64057
FRENCH GUIANA,56485
LEBANON,52492
NIGERIA,51591
LIECHTENSTEIN,42692
BANGLADESH,42655
MONTENEGRO,42649
JAMAICA,40690
VIRGIN ISLANDS UK,35955
COSTA RICA,35511
QATAR,35420
SYRIA,33616
GHANA,32865
KUWAIT,31979
IRAN,26045
GIBRALTAR,23956
PANAMA,22144
AFGHANISTAN,20121
OMAN,20036
CAYMAN ISLANDS,18817
NAMIBIA,15817
BOTSWANA,15810
SRI LANKA,15079
GREENLAND,14346
ARUBA,14234
CAMEROON,13486
MACAO,12242
ETHIOPIA,10413
URUGUAY,10135
IRAQ,9194
BERMUDA,8625
MONACO,8514
GEORGIA,8442
MACEDONIA,8228
MYANMAR,8109
UGANDA,7844
MALAWI,7288
IVORY COAST,7173
BAHAMAS,7023
SENEGAL,6986
TANZANIA,6838
CURACAO,6650
GUAM,6631
NEPAL,6482
BOLIVIA,5733
ALBANIA,5726
EL SALVADOR,5640
FAROE ISLANDS,5612
HONDURAS,5487
TRINIDAD & TOBAGO,5329
MOZAMBIQUE,5199
BRUNEI,4689
ZAMBIA,4449
PARAGUAY,4333
ANGOLA,4285
SAN MARINO,4136
MADAGASCAR,4010
BELIZE,3674
PAPUA NEW GUINEA,3625
RWANDA,3602
BARBADOS,3543
CONGO,3522
MARSHALL ISLANDS,3518
BENIN,3487
AZERBAIJAN,3433
ANDORRA,3382
KOSOVO,3311
CAMBODIA,3218
NICARAGUA,3067
CONGO DEMOCRATIC REP,3012
TOGO,2791
SEYCHELLES,2744
BURKINA FASO,2708
ARMENIA,2695
MALI,2586
SWAZILAND,2584
ZIMBABWE,2539
HAITI,2460
SUDAN,2423
YEMEN,2396
GABON,2354
FIJI,2253
LIBYA,2156
NORTHERN MARIANA IS,1911
GUINEA,1830
FRENCH POLYNESIA,1814
SAMOA,1812
NIGER,1807
MAURITANIA,1788
null,1783
CAPE VERDE,1742
LIBERIA,1705
BURUNDI,1634
DJIBOUTI,1459
CHAD,1437
ST KITTS-NEVIS,1337
GAMBIA,1232
SIERRA LEONE,1208
SURINAME,1157
TURKISH REP N CYPRUS,1141
MALDIVES,1126
LESOTHO,1086
TURKS & CAICOS IS,1084
SOMALIA,1049
SAMOA AMERICAN,1025
ANTIGUA & BARBUDA,1016
TAJIKISTAN,989
LAOS,935
ST VINCENT,934
ST LUCIA,910
EQUATORIAL GUINEA,906
SOUTH SUDAN,848
ANGUILLA,847
GUYANA,843
ST MAARTEN,829
VANUATU,760
CENTRAL AFRICAN REP,734
MICRONESIA FED ST,725
DOMINICA,543
GRENADA,451
COOK ISLANDS,448
SOLOMON ISLANDS,412
TURKMENISTAN,354
BHUTAN,301
ERITREA,278
EAST TIMOR,272
TONGA,269
GUINEA-BISSAU,242
BONAIRE ST EUST SABA,236
COMOROS,183
FALKLAND ISLANDS,173
SAO TOME & PRINCIPE,134
KIRIBATI,96
MONTSERRAT,89
ST HELENA,89
NAURU,89
NORFOLK ISLAND,71
CHRISTMAS ISLAND,39
TUVALU,37
WAKE ISLAND,31
NETHERLANDS ANTILLES,21
PALAU,19
CAROLINE ISLANDS,11
TOKELAU,8
622,2
NEW CALEDONIA,2
MIDWAY ISLAND,1
88,1
777,1
0,1
190,1
